dice,iou,accuracy,precision,recall,filename,error
0.024155528554070473,0.01222542001820284,0.7276746961805556,0.012243791880173433,0.8906810035842294,RGB_ar041_2021_n_14_04_0.png,0.2723253038194444
0.37079767971028427,0.22759461798725314,0.8668551974826388,0.2406405990016639,0.8076225045372051,RGB_ar041_2021_n_14_13_0.png,0.13314480251736116
0.1714234907086334,0.09374696100359817,0.9368014865451388,0.09533227848101265,0.8493392070484581,RGB_ar041_2021_n_17_12_0.png,0.06319851345486116
0.05849093390524469,0.03012653143201446,0.9345024956597222,0.030315278900565887,0.8287292817679558,RGB_ar041_2021_n_18_04_0.png,0.06549750434027779
0.430938206654668,0.2746470588235294,0.8327501085069444,0.3081441393875396,0.7164339419978518,RGB_ar041_2021_n_21_12_0.png,0.16724989149305558
0.2711767235201376,0.1568562427458133,0.96551513671875,0.1587248322147651,0.9301868239921337,RGB_ar041_2021_n_21_14_0.png,0.03448486328125
0.4154000261312661,0.26214819700967457,0.9089694552951388,0.2758560851457659,0.8406486867618544,RGB_ar081_2021_n_05_02_0.png,0.09103054470486116
0.1268041237113402,0.06769400110071547,0.9655354817708334,0.06828275351591413,0.8870192307692307,RGB_ar081_2021_n_07_04_0.png,0.03446451822916663
0.20860759493670886,0.11644997173544375,0.9894002278645834,0.11704545454545455,0.958139534883721,RGB_ar081_2021_n_07_06_0.png,0.01059977213541663
0.29950072475438877,0.17612517048037582,0.8525187174479166,0.18610888710968776,0.7665292662819456,RGB_ar081_2021_n_10_02_0.png,0.14748128255208337
0.33301696034333345,0.19977225467868107,0.8903876410590278,0.20889418098985296,0.8206223306894448,RGB_ar081_2021_n_10_09_0.png,0.10961235894097221
0.029925603945498622,0.015190088255261372,0.9212985568576388,0.015267826680313887,0.7489539748953975,RGB_ar081_2021_n_11_02_0.png,0.07870144314236116
0.22773683142876464,0.1285005723006486,0.92254638671875,0.13160362613316662,0.8449573507275464,RGB_ar081_2021_n_11_07_0.png,0.07745361328125
0.07254395671953769,0.03763715233477928,0.8465372721354166,0.03798935439560439,0.8023572076155938,RGB_ar081_2021_n_13_06_0.png,0.15346272786458337
0.07683759326877282,0.039953772494634304,0.9605645073784722,0.04030646235842771,0.8203389830508474,RGB_ar081_2021_n_13_16_0.png,0.03943549262152779
0.09308649722832339,0.04881526985519965,0.9411960177951388,0.04916040653999116,0.8742632612966601,RGB_ar145_2019_n_01_14_0.png,0.05880398220486116
0.19310137068835667,0.10686895631877293,0.8910115559895834,0.10923653715064759,0.8313878080415046,RGB_ar145_2019_n_04_13_0.png,0.10898844401041663
0.5958611381869986,0.4243605489400331,0.9268934461805556,0.4536994747659283,0.8677658877484167,RGB_ar145_2019_n_05_11_0.png,0.07310655381944442
0.09984810126582279,0.052547431251332336,0.8794352213541666,0.053044975252851304,0.8485370051635112,RGB_ar145_2019_n_05_17_0.png,0.12056477864583337
0.06593406593406594,0.03409090909090909,0.83917236328125,0.034353964866196025,0.8165853658536585,RGB_ar145_2019_n_08_14_0.png,0.16082763671875
0.1532275831680987,0.08297047420220698,0.8957383897569444,0.08438485804416404,0.8319377990430622,RGB_ar145_2019_n_08_16_0.png,0.10426161024305558
0.0653716332575601,0.0337902795086345,0.8159722222222222,0.033975368752685094,0.8611615245009074,RGB_ar145_2019_n_08_22_0.png,0.1840277777777778
0.1749791871641565,0.0958779132454176,0.9260728624131944,0.09776725304465494,0.8322534197264219,RGB_ar145_2019_n_09_12_0.png,0.07392713758680558
0.0940457248136672,0.049343117008655915,0.853271484375,0.049919985775248935,0.8102453102453102,RGB_ar145_2019_n_09_14_0.png,0.146728515625
0.5754584987710343,0.4039605011679762,0.9238620334201388,0.4331170309653916,0.857158950095753,RGB_ar145_2019_n_09_17_0.png,0.07613796657986116
0.19072364420365967,0.10541432412613053,0.9007229275173612,0.1081640331075997,0.8056982718355908,RGB_ar145_2019_n_11_13_0.png,0.09927707248263884
0.05683971201212581,0.02925117004680187,0.9324815538194444,0.029400235201881616,0.8522727272727273,RGB_ar145_2019_n_12_01_0.png,0.06751844618055558
0.2076260762607626,0.11583859456491902,0.9781561957465278,0.11644591611479028,0.9569160997732427,RGB_ar145_2019_n_13_07_0.png,0.02184380425347221
0.5846991266897954,0.4131270867672541,0.9058295355902778,0.45120937961595275,0.8303601766904519,RGB_ar145_2019_n_16_11_0.png,0.09417046440972221
0.19230537660304653,0.10638156141753265,0.9090237087673612,0.10869861148924585,0.8330725091288471,RGB_ar145_2019_n_18_19_0.png,0.09097629123263884
0.21174234115668641,0.11840706517294955,0.9268866644965278,0.12107023411371237,0.8433313919627257,RGB_ar145_2019_n_20_11_0.png,0.07311333550347221
0.11739327883742053,0.062356772403811364,0.9472791883680556,0.06301803998049732,0.8559602649006622,RGB_ar145_2019_n_20_12_0.png,0.05272081163194442
0.521117608836907,0.3523725834797891,0.9250284830729166,0.3747196611014204,0.8552538034977961,RGB_ar145_2019_n_21_13_0.png,0.07497151692708337
0.29481986018999823,0.17289660681999747,0.8665974934895834,0.18041418041418042,0.8058005095042132,RGB_ar145_2019_n_21_15_0.png,0.13340250651041663
0.11933007676203769,0.06345083487940631,0.9315321180555556,0.06359241353663071,0.9661016949152542,RGB_mo025_2018_n_01_09_0.png,0.06846788194444442
0.04680288108187564,0.023962190312772812,0.7801174587673612,0.024203356847482364,0.7062999112688554,RGB_mo025_2018_n_02_04_0.png,0.21988254123263884
0.028965981812057933,0.01469583048530417,0.82403564453125,0.014730511571254568,0.8619153674832962,RGB_mo025_2018_n_03_01_0.png,0.17596435546875
0.10122041290050293,0.05330814255019634,0.8266940646701388,0.05379037081339713,0.8560380725758477,RGB_mo025_2018_n_03_07_0.png,0.17330593532986116
0.060281182232401746,0.03107727866546076,0.7384507921006944,0.03143423460052856,0.7323860272350503,RGB_mo025_2018_n_03_11_0.png,0.2615492078993056
0.041849501359927474,0.02137195347803541,0.8208211263020834,0.021491358760429083,0.7936726272352133,RGB_mo025_2018_n_03_12_0.png,0.17917887369791663
0.09789115019799245,0.051464536431856694,0.8671332465277778,0.05224100648712404,0.775912408759124,RGB_mo025_2018_n_03_13_0.png,0.1328667534722222
0.07385536657379299,0.03834362450883026,0.8489651150173612,0.03861541137589146,0.8449096098953378,RGB_mo025_2018_n_04_05_0.png,0.15103488498263884
0.08080733944954129,0.04210486060652415,0.8301323784722222,0.04227461219474735,0.9129353233830846,RGB_mo025_2018_n_05_02_0.png,0.1698676215277778
0.17014196983141083,0.09298096738998667,0.8985188802083334,0.0943419434194342,0.8656884875846501,RGB_mo025_2018_n_05_15_0.png,0.10148111979166663
0.13006543035824025,0.06955613980822765,0.8367987738715278,0.07002179666822357,0.9127346524606799,RGB_mo025_2018_n_06_04_0.png,0.1632012261284722
0.11059769563130101,0.058535810703509605,0.7989773220486112,0.0592985842985843,0.8198398576512456,RGB_mo025_2018_n_06_13_0.png,0.20102267795138884
0.17382336396024753,0.09518431050415854,0.8804796006944444,0.09702742306887167,0.8336330935251799,RGB_mo025_2018_n_07_02_0.png,0.11952039930555558
0.170881414191014,0.0934228187919463,0.8396877712673612,0.09466811751904244,0.8765743073047859,RGB_mo025_2018_n_08_02_0.png,0.16031222873263884
0.2930705657978385,0.17169459962756053,0.9095052083333334,0.174357034795764,0.9183266932270916,RGB_mo025_2018_n_08_05_0.png,0.09049479166666663
0.12587716912364685,0.0671659119934982,0.8910251193576388,0.06791500352195351,0.8589458054936897,RGB_mo025_2018_n_08_08_0.png,0.10897488064236116
0.12567542036652182,0.06705104427062333,0.84307861328125,0.06806647020301244,0.8180029513034923,RGB_mo025_2018_n_09_11_0.png,0.15692138671875
0.2111745805069618,0.11805209060971959,0.880126953125,0.12022357723577236,0.8673020527859238,RGB_mo025_2018_n_11_10_0.png,0.119873046875
0.12962797751806585,0.0693059861674219,0.86767578125,0.06988264717198922,0.8936039360393604,RGB_mo025_2018_n_12_02_0.png,0.13232421875
0.13480553724456162,0.07227425340166108,0.8931884765625,0.0730705097665555,0.8689801699716714,RGB_mo025_2018_n_12_03_0.png,0.1068115234375
0.04720921402354132,0.02417525439108173,0.8978949652777778,0.02430917622523462,0.8144104803493449,RGB_mo025_2018_n_12_15_0.png,0.10210503472222221
0.07894978426512439,0.04109719965593042,0.7958780924479166,0.041309081593441786,0.8890420399724328,RGB_mo049_2018_n_01_05_0.png,0.20412190755208337
0.0760194130720733,0.03951152812485266,0.8618503146701388,0.04014178961486875,0.7156276686592656,RGB_mo049_2018_n_01_08_0.png,0.13814968532986116
0.05393203883495146,0.02771333782334306,0.7356635199652778,0.02797079556898288,0.7506756756756757,RGB_mo049_2018_n_02_06_0.png,0.2643364800347222
0.08845285369461964,0.04627291242362525,0.8412136501736112,0.04649639816633923,0.9059011164274322,RGB_mo049_2018_n_02_08_0.png,0.15878634982638884
0.1550636594278798,0.0840482438433589,0.7538180881076388,0.08560341282894737,0.822266107134041,RGB_mo049_2018_n_03_03_0.png,0.24618191189236116
0.0873853261956063,0.0456889343119948,0.72137451171875,0.0463085036255768,0.7734958710184822,RGB_mo049_2018_n_04_10_0.png,0.27862548828125
0.16521908851371134,0.09004840168076166,0.8839789496527778,0.0916323879627625,0.8389494549058474,RGB_mo049_2018_n_05_01_0.png,0.11602105034722221
0.12756775418608665,0.06812943671061122,0.7943522135416666,0.06953330824237862,0.7713987473903967,RGB_mo049_2018_n_05_09_0.png,0.20564778645833337
0.15837228485015123,0.08599581964765601,0.7716539171006944,0.08720546135212508,0.8611035607502039,RGB_mo049_2018_n_05_12_0.png,0.22834608289930558
0.10886075949367088,0.05756358768406961,0.8472222222222222,0.057912457912457915,0.9052631578947369,RGB_mo049_2018_n_06_04_0.png,0.1527777777777778
0.09757304065543361,0.05128871843208633,0.8020494249131944,0.05153494448073155,0.9147826086956522,RGB_mo049_2018_n_06_05_0.png,0.19795057508680558
0.09008699071116134,0.04716811198888345,0.7488878038194444,0.04774929665520475,0.7948829141370338,RGB_mo049_2018_n_07_03_0.png,0.2511121961805556
0.1970073139636315,0.10926684034238929,0.8376871744791666,0.11185614142029869,0.8251826869027543,RGB_mo049_2018_n_09_04_0.png,0.16231282552083337
0.1451813132963084,0.07827250951106102,0.9112752278645834,0.07886144236229416,0.9129005751848809,RGB_mo049_2018_n_09_07_0.png,0.08872477213541663
0.09120539477381287,0.04778167044484352,0.7806532118055556,0.04841307719842501,0.7855759922555663,RGB_mo049_2018_n_10_13_0.png,0.21934678819444442
0.07549155983307643,0.03922641140847822,0.8332316080729166,0.03934786016617025,0.9270544783010157,RGB_mo049_2018_n_11_02_0.png,0.16676839192708337
0.14720224999432965,0.0794486338262658,0.7450154622395834,0.08082594400717345,0.823395077391525,RGB_mo049_2018_n_12_05_0.png,0.25498453776041663
0.06412566726734895,0.033124912182099196,0.8133341471354166,0.03326044018058691,0.890462700661001,RGB_mo075_2020_n_01_02_0.png,0.18666585286458337
